"","recency","history_segment","history","mens","womens","zip_code","newbie","channel","segment","visit","conversion","spend","treatment"
"105",1,"4) $350 - $500",407.09,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
"106",1,"2) $100 - $200",142.4,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"107",1,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"108",12,"3) $200 - $350",284.54,1,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"109",2,"1) $0 - $100",60.2,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
"110",4,"7) $1,000 +",1089.77,1,0,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1
"111",1,"6) $750 - $1,000",790.36,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1
"112",4,"1) $0 - $100",36.49,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
"113",12,"3) $200 - $350",271.89,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1
"114",3,"1) $0 - $100",39.83,0,1,"Urban",1,"Phone","Mens E-Mail",1,0,0,1
"115",5,"3) $200 - $350",269.99,1,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
"116",4,"3) $200 - $350",292.61,1,0,"Surburban",0,"Multichannel","No E-Mail",0,0,0,0
"117",6,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
"118",9,"2) $100 - $200",116.3,1,0,"Rural",1,"Web","Mens E-Mail",1,0,0,1
"119",5,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
"120",3,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0
"121",7,"1) $0 - $100",39.78,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"122",1,"5) $500 - $750",720.17,1,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
"123",4,"1) $0 - $100",69.08,0,1,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
"124",1,"3) $200 - $350",301.19,1,0,"Surburban",1,"Web","No E-Mail",0,0,0,0
"125",10,"3) $200 - $350",307.64,0,1,"Urban",0,"Multichannel","Mens E-Mail",0,0,0,1
"126",7,"4) $350 - $500",481.56,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"127",10,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
"128",5,"4) $350 - $500",425.1,1,0,"Rural",1,"Phone","Mens E-Mail",0,0,0,1
"129",10,"1) $0 - $100",36.28,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
"130",7,"1) $0 - $100",32.42,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"131",1,"2) $100 - $200",150.93,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
"132",1,"5) $500 - $750",506.51,1,0,"Urban",1,"Multichannel","No E-Mail",0,0,0,0
"133",8,"5) $500 - $750",575.62,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1
"134",2,"2) $100 - $200",145.76,0,1,"Surburban",1,"Web","No E-Mail",1,0,0,0
"135",8,"4) $350 - $500",428,1,0,"Surburban",1,"Multichannel","No E-Mail",0,0,0,0
"136",6,"5) $500 - $750",604.39,1,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
"137",8,"2) $100 - $200",171.88,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"138",7,"1) $0 - $100",29.99,1,0,"Surburban",1,"Web","Mens E-Mail",0,0,0,1
"139",1,"3) $200 - $350",209.98,1,0,"Surburban",0,"Web","No E-Mail",1,0,0,0
"140",3,"2) $100 - $200",166,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
"141",8,"3) $200 - $350",336.76,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
"142",4,"4) $350 - $500",356.73,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
"143",4,"1) $0 - $100",52.12,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
"144",7,"4) $350 - $500",406.7,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
"145",6,"3) $200 - $350",277.81,1,0,"Surburban",1,"Multichannel","No E-Mail",0,0,0,0
"146",1,"2) $100 - $200",181.98,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"147",5,"1) $0 - $100",29.99,0,1,"Rural",1,"Web","No E-Mail",0,0,0,0
"148",5,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",1,0,0,0
"149",6,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"150",8,"2) $100 - $200",130.31,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
"151",3,"1) $0 - $100",65.26,1,0,"Urban",0,"Web","Mens E-Mail",1,0,0,1
"152",2,"2) $100 - $200",115.56,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
"153",8,"2) $100 - $200",104.94,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
"154",7,"1) $0 - $100",69.44,1,0,"Rural",0,"Web","Mens E-Mail",1,0,0,1
"155",2,"3) $200 - $350",224.89,1,1,"Urban",0,"Multichannel","No E-Mail",0,0,0,0
"156",5,"4) $350 - $500",354.03,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1
"157",10,"2) $100 - $200",151.43,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0
"158",11,"2) $100 - $200",120.14,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1
"159",5,"3) $200 - $350",290.86,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
"160",11,"1) $0 - $100",81.06,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1
"161",10,"1) $0 - $100",55.11,1,0,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"162",1,"5) $500 - $750",513.83,0,1,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1
"163",4,"6) $750 - $1,000",770.38,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0
"164",1,"1) $0 - $100",33.5,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"165",2,"1) $0 - $100",56.25,1,0,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
"166",2,"7) $1,000 +",1093.92,1,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
"167",1,"6) $750 - $1,000",752.8,1,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
"168",2,"2) $100 - $200",199.95,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
"169",9,"3) $200 - $350",239.91,0,1,"Rural",0,"Phone","No E-Mail",0,0,0,0
"170",8,"1) $0 - $100",43.16,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
"171",2,"4) $350 - $500",418.81,0,1,"Surburban",0,"Multichannel","No E-Mail",0,0,0,0
"172",3,"1) $0 - $100",67.4,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"173",10,"1) $0 - $100",54.25,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"174",7,"3) $200 - $350",329.26,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1
"175",1,"1) $0 - $100",29.99,1,0,"Rural",1,"Phone","Mens E-Mail",0,0,0,1
"176",5,"1) $0 - $100",39.52,1,0,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
"177",1,"3) $200 - $350",307.58,1,0,"Surburban",0,"Multichannel","No E-Mail",0,0,0,0
"178",6,"1) $0 - $100",92.32,0,1,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
"179",10,"4) $350 - $500",375.9,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1
"180",9,"1) $0 - $100",29.99,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1
"181",9,"3) $200 - $350",220.51,1,0,"Urban",0,"Multichannel","Mens E-Mail",0,0,0,1
"182",6,"1) $0 - $100",78.69,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
"183",3,"4) $350 - $500",376.14,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"184",1,"2) $100 - $200",179.63,1,0,"Surburban",0,"Phone","Mens E-Mail",1,0,0,1
"185",8,"1) $0 - $100",59.76,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"186",4,"3) $200 - $350",320.17,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
"187",1,"2) $100 - $200",103.07,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"188",10,"1) $0 - $100",35.84,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
"189",2,"1) $0 - $100",90.91,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"190",5,"3) $200 - $350",215.03,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0
"191",1,"6) $750 - $1,000",856.4,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0
"192",10,"2) $100 - $200",139.83,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
"193",10,"3) $200 - $350",245.09,1,0,"Urban",0,"Multichannel","No E-Mail",0,0,0,0
"194",6,"2) $100 - $200",127.2,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"195",1,"4) $350 - $500",470.65,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
"196",1,"1) $0 - $100",59.13,1,0,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"197",3,"3) $200 - $350",327.1,1,0,"Surburban",1,"Web","No E-Mail",0,0,0,0
"198",1,"4) $350 - $500",399.72,1,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0,1
"199",3,"1) $0 - $100",29.99,1,0,"Urban",0,"Phone","No E-Mail",0,0,0,0
"200",6,"4) $350 - $500",398.03,1,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"201",4,"2) $100 - $200",134.24,0,1,"Urban",0,"Web","Mens E-Mail",1,0,0,1
"202",10,"3) $200 - $350",290.55,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"203",7,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
"204",4,"1) $0 - $100",87.69,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"205",12,"4) $350 - $500",465.37,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0
"206",1,"2) $100 - $200",188.89,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
"207",4,"1) $0 - $100",49.8,1,0,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"208",3,"3) $200 - $350",229.42,0,1,"Rural",0,"Multichannel","No E-Mail",0,0,0,0
"209",1,"3) $200 - $350",253.18,0,1,"Surburban",0,"Multichannel","Mens E-Mail",0,0,0,1
"210",2,"2) $100 - $200",156.4,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"211",4,"5) $500 - $750",557.47,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
"212",11,"2) $100 - $200",140.07,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"213",10,"2) $100 - $200",168.04,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0
"214",4,"2) $100 - $200",164.7,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"215",2,"1) $0 - $100",57.53,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
"216",3,"2) $100 - $200",188.19,1,0,"Urban",0,"Phone","Mens E-Mail",1,0,0,1
"217",10,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",1,1,149.28,0
"218",1,"1) $0 - $100",35.23,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
"219",4,"5) $500 - $750",550.59,1,0,"Surburban",1,"Web","No E-Mail",0,0,0,0
"220",6,"3) $200 - $350",232.94,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1
"221",10,"3) $200 - $350",205.88,1,0,"Urban",0,"Phone","No E-Mail",0,0,0,0
"222",1,"7) $1,000 +",1281.48,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
"223",3,"1) $0 - $100",29.99,1,0,"Urban",0,"Web","No E-Mail",1,0,0,0
"224",3,"5) $500 - $750",542.16,1,0,"Urban",1,"Phone","Mens E-Mail",1,0,0,1
"225",6,"5) $500 - $750",507.25,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
"226",10,"1) $0 - $100",29.99,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1
"227",7,"1) $0 - $100",60.02,1,0,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
"228",1,"1) $0 - $100",68.5,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
"229",11,"1) $0 - $100",37.45,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
"230",4,"1) $0 - $100",70.39,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
"231",6,"1) $0 - $100",98.8,0,1,"Rural",1,"Phone","Mens E-Mail",1,0,0,1
"232",5,"5) $500 - $750",556.5,0,1,"Rural",1,"Web","Mens E-Mail",0,0,0,1
"233",6,"2) $100 - $200",136.26,0,1,"Rural",1,"Web","No E-Mail",0,0,0,0
"234",9,"2) $100 - $200",172.14,0,1,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
"235",2,"3) $200 - $350",203.52,1,1,"Urban",1,"Multichannel","No E-Mail",1,0,0,0
"236",10,"3) $200 - $350",320.11,0,1,"Rural",0,"Web","No E-Mail",0,0,0,0
"237",8,"3) $200 - $350",267.25,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
"238",9,"5) $500 - $750",744.22,1,0,"Rural",1,"Web","No E-Mail",0,0,0,0
"239",3,"1) $0 - $100",99.25,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
"240",5,"1) $0 - $100",62.49,1,0,"Rural",0,"Web","No E-Mail",0,0,0,0
"241",4,"1) $0 - $100",72.66,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
"242",10,"3) $200 - $350",333.65,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
"243",7,"3) $200 - $350",340.18,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
"244",10,"1) $0 - $100",62.63,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
"245",5,"3) $200 - $350",283.55,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
"246",9,"1) $0 - $100",54.34,1,0,"Surburban",0,"Phone","Mens E-Mail",1,0,0,1
"247",5,"3) $200 - $350",247.82,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
"248",11,"2) $100 - $200",178.56,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
"249",2,"1) $0 - $100",86.38,1,0,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"250",7,"3) $200 - $350",233.4,1,1,"Urban",0,"Multichannel","No E-Mail",0,0,0,0
"251",1,"7) $1,000 +",1524.15,1,0,"Rural",1,"Web","No E-Mail",0,0,0,0
"252",10,"1) $0 - $100",57.71,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
"253",4,"4) $350 - $500",410.86,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
"254",6,"1) $0 - $100",40.24,1,0,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
"255",9,"5) $500 - $750",535.17,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1
"256",3,"5) $500 - $750",584.63,1,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
"257",1,"1) $0 - $100",29.99,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
"258",5,"2) $100 - $200",119.47,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"259",7,"1) $0 - $100",68.86,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
"260",3,"1) $0 - $100",68.81,0,1,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
"261",9,"2) $100 - $200",165.62,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
"262",1,"5) $500 - $750",686.08,1,1,"Urban",1,"Web","No E-Mail",0,0,0,0
"263",7,"2) $100 - $200",145.89,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
"264",5,"6) $750 - $1,000",964.59,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0
"265",7,"5) $500 - $750",578.35,0,1,"Surburban",1,"Web","Mens E-Mail",1,0,0,1
"266",7,"1) $0 - $100",93.33,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0
"267",5,"1) $0 - $100",42.3,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
"268",4,"4) $350 - $500",474.94,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
"269",7,"3) $200 - $350",291.88,1,0,"Urban",0,"Multichannel","No E-Mail",0,0,0,0
"270",6,"1) $0 - $100",32.17,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
