"","recency","history_segment","history","mens","womens","zip_code","newbie","channel","segment","visit","conversion","spend","treatment","obs_rate_c","obs_rate_t","random_number"
"133",1,"2) $100 - $200",179.63,1,0,"Surburban",0,"Phone","Mens E-Mail",1,0,0,1,0.5,1,0.503339485730976
"134",4,"3) $200 - $350",320.17,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.189193622441962
"135",1,"2) $100 - $200",103.07,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.758103052387014
"136",10,"1) $0 - $100",35.84,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.724498892668635
"137",2,"1) $0 - $100",90.91,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.943724818294868
"138",10,"2) $100 - $200",139.83,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.388905099825934
"139",10,"3) $200 - $350",245.09,1,0,"Urban",0,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.100873126182705
"140",6,"2) $100 - $200",127.2,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.927302088588476
"141",1,"4) $350 - $500",470.65,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.283232500310987
"142",1,"1) $0 - $100",59.13,1,0,"Urban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.59057315881364
"143",3,"3) $200 - $350",327.1,1,0,"Surburban",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.110360604943708
"144",1,"4) $350 - $500",399.72,1,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0,1,0.5,1,0.840507032116875
"145",3,"1) $0 - $100",29.99,1,0,"Urban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.317963684443384
"146",4,"2) $100 - $200",134.24,0,1,"Urban",0,"Web","Mens E-Mail",1,0,0,1,0.5,1,0.267508207354695
"147",10,"3) $200 - $350",290.55,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.218645284883678
"148",7,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.516796836396679
"149",4,"1) $0 - $100",87.69,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.268950592027977
"150",12,"4) $350 - $500",465.37,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.181168327340856
"151",4,"1) $0 - $100",49.8,1,0,"Urban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.562782935798168
"152",3,"3) $200 - $350",229.42,0,1,"Rural",0,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.129156854469329
"153",1,"3) $200 - $350",253.18,0,1,"Surburban",0,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.256367604015395
"154",2,"2) $100 - $200",156.4,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.717935275984928
"155",11,"2) $100 - $200",140.07,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.100140846567228
"156",10,"2) $100 - $200",168.04,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.763222689507529
"157",3,"2) $100 - $200",188.19,1,0,"Urban",0,"Phone","Mens E-Mail",1,0,0,1,0.5,1,0.308292330708355
"158",10,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",1,1,149.28,0,1,0.5,0.649579460499808
"159",1,"1) $0 - $100",35.23,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.953355451114476
"160",6,"3) $200 - $350",232.94,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1,0.5,1,0.339979203417897
"161",10,"3) $200 - $350",205.88,1,0,"Urban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.262474110117182
"162",1,"7) $1,000 +",1281.48,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.165453933179379
"163",3,"1) $0 - $100",29.99,1,0,"Urban",0,"Web","No E-Mail",1,0,0,0,0.5,1,0.322168056620285
"164",3,"5) $500 - $750",542.16,1,0,"Urban",1,"Phone","Mens E-Mail",1,0,0,1,0.5,1,0.510125206550583
"165",6,"5) $500 - $750",507.25,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.923968471353874
"166",7,"1) $0 - $100",60.02,1,0,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.257621260825545
"167",1,"1) $0 - $100",68.5,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.0464608869515359
"168",11,"1) $0 - $100",37.45,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.41785625834018
"169",6,"1) $0 - $100",98.8,0,1,"Rural",1,"Phone","Mens E-Mail",1,0,0,1,1,0.5,0.347230677725747
"170",5,"5) $500 - $750",556.5,0,1,"Rural",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.131442320533097
"171",6,"2) $100 - $200",136.26,0,1,"Rural",1,"Web","No E-Mail",0,0,0,0,1,0.5,0.374486864544451
"172",2,"3) $200 - $350",203.52,1,1,"Urban",1,"Multichannel","No E-Mail",1,0,0,0,0.5,1,0.390078933676705
"173",3,"1) $0 - $100",99.25,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0,0.5,1,0.429624407785013
"174",5,"1) $0 - $100",62.49,1,0,"Rural",0,"Web","No E-Mail",0,0,0,0,0.5,1,0.452720062807202
"175",4,"1) $0 - $100",72.66,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.306443258887157
"176",10,"1) $0 - $100",62.63,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.142604082124308
"177",5,"3) $200 - $350",283.55,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0,0.5,1,0.415047625312582
"178",9,"1) $0 - $100",54.34,1,0,"Surburban",0,"Phone","Mens E-Mail",1,0,0,1,1,0.5,0.210925750667229
"179",5,"3) $200 - $350",247.82,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.428750370861962
"180",11,"2) $100 - $200",178.56,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.132689975202084
"181",2,"1) $0 - $100",86.38,1,0,"Urban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.460096445865929
"182",4,"4) $350 - $500",410.86,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0,0.5,1,0.470678497571498
"183",9,"5) $500 - $750",535.17,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.484989680582657
"184",3,"5) $500 - $750",584.63,1,1,"Surburban",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.10880631650798
"185",1,"1) $0 - $100",29.99,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.247726832982153
"186",5,"2) $100 - $200",119.47,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.498514530714601
"187",7,"1) $0 - $100",68.86,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.372866708086804
"188",3,"1) $0 - $100",68.81,0,1,"Urban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.934691370232031
"189",9,"2) $100 - $200",165.62,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.523986077867448
"190",1,"5) $500 - $750",686.08,1,1,"Urban",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.317144671687856
"191",7,"2) $100 - $200",145.89,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0,1,0.5,0.277966029476374
"192",7,"5) $500 - $750",578.35,0,1,"Surburban",1,"Web","Mens E-Mail",1,0,0,1,0.5,1,0.702462512534112
"193",7,"1) $0 - $100",93.33,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0,1,0.5,0.165027638664469
"194",5,"1) $0 - $100",42.3,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.0644575387705117
"195",4,"4) $350 - $500",474.94,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.754705621628091
"196",6,"1) $0 - $100",32.17,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1,1,0.5,0.169576766667888
"197",1,"3) $200 - $350",200.26,1,0,"Surburban",0,"Multichannel","No E-Mail",0,0,0,0,0.5,1,0.0622140523046255
"198",8,"7) $1,000 +",1137.96,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.109029268613085
"199",9,"1) $0 - $100",51.53,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0,1,0.5,0.381716351723298
"200",3,"2) $100 - $200",177.36,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.169310914585367
"201",9,"1) $0 - $100",34.75,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0,1,0.5,0.298652542056516
"202",8,"4) $350 - $500",402.84,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.192209535045549
"203",1,"3) $200 - $350",276.21,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0,0.5,1,0.257170021301135
"204",1,"6) $750 - $1,000",960.02,1,1,"Rural",1,"Web","No E-Mail",1,0,0,0,0.5,1,0.181231822818518
"205",1,"2) $100 - $200",100.92,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0,0.5,1,0.477313709678128
"206",7,"3) $200 - $350",348.44,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.770737042883411
"207",11,"1) $0 - $100",29.99,0,1,"Rural",0,"Web","Mens E-Mail",0,0,0,1,1,0.5,0.0277871224097908
"208",4,"3) $200 - $350",218.92,0,1,"Surburban",0,"Web","Mens E-Mail",1,0,0,1,0.5,1,0.373063371982425
"209",3,"2) $100 - $200",109.34,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1,0.5,1,0.0479591316543519
"210",2,"1) $0 - $100",32.18,1,0,"Surburban",1,"Web","Mens E-Mail",0,0,0,1,0.5,1,0.138628246728331
"211",7,"3) $200 - $350",287.73,1,1,"Urban",0,"Web","No E-Mail",1,0,0,0,1,0.5,0.321492120390758
